DAY_OF_MONTH,DAY_OF_WEEK,OP_UNIQUE_CARRIER,OP_CARRIER_AIRLINE_ID,OP_CARRIER,TAIL_NUM,OP_CARRIER_FL_NUM,ORIGIN_AIRPORT_ID,ORIGIN_AIRPORT_SEQ_ID,ORIGIN,DEST_AIRPORT_ID,DEST_AIRPORT_SEQ_ID,DEST,DEP_TIME,DEP_DEL15,DEP_TIME_BLK,ARR_TIME,ARR_DEL15,CANCELLED,DIVERTED,DISTANCE,Unnamed: 21
8,2,9E,20363,9E,N695CA,5493,11042,1104205,CLE,12953,1295304,LGA,1809.0,1.0,1700-1759,1949.0,1.0,0.0,0.0,419.0,
18,5,WN,19393,WN,N8572X,1594,11292,1129202,DEN,10693,1069302,BNA,1914.0,0.0,1900-1959,2231.0,0.0,0.0,0.0,1014.0,
23,3,AS,19930,AS,N532AS,57,12478,1247805,JFK,12892,1289208,LAX,917.0,0.0,0900-0959,1301.0,0.0,0.0,0.0,2475.0,
22,2,UA,19977,UA,N39423,584,12889,1288903,LAS,12892,1289208,LAX,1857.0,0.0,1900-1959,2008.0,0.0,0.0,0.0,236.0,
11,5,WN,19393,WN,N296WN,1502,14831,1483106,SJC,10800,1080003,BUR,737.0,1.0,0700-0759,837.0,1.0,0.0,0.0,296.0,
10,4,OO,20304,OO,N782SK,5826,10372,1037205,ASE,13930,1393007,ORD,1614.0,0.0,1600-1659,1949.0,0.0,0.0,0.0,1013.0,
15,2,YX,20452,YX,N823MD,6002,11433,1143302,DTW,14576,1457606,ROC,850.0,0.0,0800-0859,1032.0,0.0,0.0,0.0,296.0,
4,5,WN,19393,WN,N7724A,1934,13495,1349505,MSY,15304,1530402,TPA,1115.0,0.0,1100-1159,1334.0,0.0,0.0,0.0,488.0,
1,2,WN,19393,WN,N8620H,1964,11292,1129202,DEN,14869,1486903,SLC,2221.0,1.0,2200-2259,2339.0,0.0,0.0,0.0,391.0,
31,4,AA,19805,AA,N903AA,1435,11298,1129806,DFW,10423,1042302,AUS,2114.0,1.0,2000-2059,2217.0,1.0,0.0,0.0,190.0,
11,5,OO,20304,OO,N969SW,5786,12892,1289208,LAX,14570,1457002,RNO,1728.0,0.0,1700-1759,1854.0,0.0,0.0,0.0,391.0,
22,2,OH,20397,OH,N202PS,5459,10257,1025702,ALB,11278,1127805,DCA,1650.0,0.0,1700-1759,1814.0,0.0,0.0,0.0,318.0,
24,4,WN,19393,WN,N966WN,1577,13796,1379608,OAK,14057,1405702,PDX,1546.0,0.0,1500-1559,1726.0,0.0,0.0,0.0,543.0,
7,1,OO,20304,OO,N919SW,5311,12892,1289208,LAX,11638,1163807,FAT,1327.0,0.0,1300-1359,1447.0,0.0,0.0,0.0,209.0,
12,6,WN,19393,WN,N7869A,2445,11259,1125904,DAL,13158,1315805,MAF,905.0,0.0,0900-0959,1014.0,0.0,0.0,0.0,319.0,
20,7,DL,19790,DL,N389DA,128,14747,1474703,SEA,12892,1289208,LAX,943.0,0.0,0900-0959,1244.0,0.0,0.0,0.0,954.0,
9,3,WN,19393,WN,N258WN,1913,14107,1410702,PHX,15370,1537002,TUL,1448.0,0.0,1400-1459,1749.0,0.0,0.0,0.0,935.0,
8,2,NK,20416,NK,N905NK,423,10721,1072102,BOS,13204,1320402,MCO,2010.0,0.0,1900-1959,2343.0,1.0,0.0,0.0,1121.0,
12,6,AS,19930,AS,N597AS,329,14831,1483106,SJC,14747,1474703,SEA,1350.0,0.0,1400-1459,1550.0,0.0,0.0,0.0,696.0,
5,6,DL,19790,DL,N358NB,964,12892,1289208,LAX,13198,1319801,MCI,1638.0,1.0,1500-1559,2147.0,1.0,0.0,0.0,1363.0,
1,2,AA,19805,AA,N159AN,2734,14679,1467903,SAN,11298,1129806,DFW,659.0,0.0,0700-0759,1147.0,0.0,0.0,0.0,1171.0,
25,5,AA,19805,AA,N126AN,2459,11298,1129806,DFW,12892,1289208,LAX,1417.0,0.0,1400-1459,1542.0,0.0,0.0,0.0,1235.0,
4,5,AS,19930,AS,N590AS,871,12173,1217305,HNL,10299,1029906,ANC,2148.0,0.0,2100-2159,511.0,0.0,0.0,0.0,2777.0,
23,3,AA,19805,AA,N710UW,2021,11042,1104205,CLE,11057,1105703,CLT,510.0,0.0,0001-0559,653.0,0.0,0.0,0.0,430.0,
26,6,AS,19930,AS,N611AS,50,14709,1470904,SCC,10754,1075405,BRW,1718.0,0.0,1700-1759,1810.0,0.0,0.0,0.0,204.0,
14,1,DL,19790,DL,N856DN,2091,13485,1348502,MSN,11433,1143302,DTW,625.0,0.0,0600-0659,831.0,0.0,0.0,0.0,311.0,
